Rubro Num.,ID,Description for Catalogue,Unit Price,Price
1,CRP-B3-R2-CL-V3,"Suministro e instalacion de closet cerrado en melamina de 15 mm de grosor en colores a escoger, herrajes de cierre normal y tubos colgadores ovalados cromados en altura de 240 cms de altura. Consta de 1 cajonera con 4 cajones, un área de colgadores dobles tapado por puertas y jaladeras en modelos a escoger.",  ," $46,683.00 "
1,CRP-B3-ES-EL-V3,Suministro e instalación de escritorio y librero en recámara FLEX/ESTUDIO en melamina en colores a escoger en grosor de 4cms de espesor con cubierta de cuarzo o vidrio.,  ," $69,825.00 "
1,CRP-B3-AC-TV2-V3,"Suministro e instalación de centro de entretenimiento en área flex o área común en melamina en color a escoger de 15mm de grosor, con cubierta de cuarzo o vidrio.",  ," $70,889.00 "
1,CRP-C-CC-CC-MZ,"Suministro e instalacion de cocina con interiores en melamina color blanco con cantos de pvc en color de puertas con altura total de 240cms, en modelo de escuadra, puertas inferiores en melamina en colores a escoger de 15mm de grosor con corte 45, puertas superiores en tableros de alto brillo o super mate anti huella, cama de triplay para recibir cubierta de cuarzo, herrajes de cierre suave, tarja de acero inoxidable, llave monomando, contra canastas, zoclo de pvc con recubrimiento de acero inoxidable y luz led. Cubierta de cuarzo tipo Calacatta con recubrimiento en muro o semi muro y grapa en isla y la isla es más ancha porque van blanquitos. Linea y Herrajes Blum Metabox + Tira led bajo alacenas supreiores",  ," $331,870.27 "
1,CRP-C-VV-VV-MZ,Suministro e instalación de vestidor principal en melamina en colores a escoger de 16mm de grosor  con cantos de pvc y herrajes de cierre normal. Incluye 2 cajoneras de 4 cajones con 2 entrepaños  en ancho de 80 cms y altura de 210 cms. 2 áreas de colgadores dobles con un entrepaño. Linea y Herrajes Blum Metabox ,  ," $95,399.58 "
1,CRP-C-R2-CL-MZ,"Suministro e instalacion de closet cerrado en melamina de 15 mm de grosor en colores a escoger, herrajes de cierre normal y tubos colgadores ovalados cromados en altura de 240 cms de altura. Consta de 1 cajonera con 4 cajones, un área de colgadores dobles tapado por puertas y jaladeras en modelos a escoger. Linea y Herrajes Blum Metabox ",  ," $78,065.25 "
1,CRP-C-R3-CL-MZ,"Suministro e instalacion de closet cerrado en melamina de 15 mm de grosor en colores a escoger, herrajes de cierre normal y tubos colgadores ovalados cromados en altura de 240 cms de altura. Consta de 1 cajonera con 4 cajones, un área de colgadores dobles tapado por puertas y jaladeras en modelos a escoger. Linea y Herrajes Blum Metabox ",  ," $74,222.68 "
1,CRP-C-AC-TV1-MZ,Suministro e instalación de mueble para TV bajo  en área flex o área común en melamina en color a escoger,  ," $58,236.96 "
1,CRP-C-CC-CC-V3,"Suministro e instalacion de cocina con interiores en melamina color blanco con cantos de pvc en color de puertas con altura total de 240cms, en modelo de escuadra, puertas inferiores en melamina en colores a escoger de 15mm de grosor con corte 45, puertas superiores en tableros de alto brillo o super mate anti huella, cama de triplay para recibir cubierta de cuarzo, herrajes de cierre suave, tarja de acero inoxidable, llave monomando, contra canastas, zoclo de pvc con recubrimiento de acero inoxidable y luz led. Cubierta de cuarzo tipo Calacatta con recubrimiento en muro o semi muro y grapa en isla y la isla es más ancha porque van blanquitos.",  ," $260,680.00 "
1,CRP-C-VV-VV-V3,Suministro e instalación de vestidor principal en melamina en colores a escoger de 16mm de grosor  con cantos de pvc y herrajes de cierre normal. Incluye 2 cajoneras de 4 cajones con 2 entrepaños  en ancho de 80 cms y altura de 210 cms. 2 áreas de colgadores dobles con un entrepaño.,  ," $55,860.00 "
1,CRP-C-R2-CL-V3,"Suministro e instalacion de closet cerrado en melamina de 15 mm de grosor en colores a escoger, herrajes de cierre normal y tubos colgadores ovalados cromados en altura de 240 cms de altura. Consta de 1 cajonera con 4 cajones, un área de colgadores dobles tapado por puertas y jaladeras en modelos a escoger.",  ," $46,683.00 "
1,CRP-C-R3-CL-V3,"Suministro e instalacion de closet cerrado en melamina de 15 mm de grosor en colores a escoger, herrajes de cierre normal y tubos colgadores ovalados cromados en altura de 240 cms de altura. Consta de 1 cajonera con 4 cajones, un área de colgadores dobles tapado por puertas y jaladeras en modelos a escoger.",  ," $46,683.00 "
1,CRP-C-AC-TV2-V3,"Suministro e instalación de centro de entretenimiento en área flex o área común en melamina en color a escoger de 15mm de grosor, con cubierta de cuarzo o vidrio.",  ," $70,889.00 "
3,TRAB-A-cable-AE,Suministro e instalación de cable uso rudo 3x10 marca indiana. (8 metros lineales),  ," $3,022.22 "
3,TRAB-A-utermica-AE,Suministro e instalación de unidad térmica 2x20 b ticino. (Por unidad)," $1,160.41 "," $4,641.62 "
3,TRAB-A-linea-AE,Suministro e instalación de línea neutra para centro de lavado y parrilla eléctrica abrir hueco en plafón.,  ," $2,223.00 "
3,TRAB-B1-cable-AE,Suministro e instalación de cable uso rudo 3x10 marca indiana. (8 metros lineales),  ," $3,022.22 "
3,TRAB-B1-utermica-AE,Suministro e instalación de unidad térmica 2x20 b ticino. (Por unidad)," $1,160.41 "," $4,641.62 "
3,TRAB-B1-linea-AE,Suministro e instalación de línea neutra para centro de lavado y parrilla eléctrica abrir hueco en plafón.,  ," $2,223.00 "
3,TRAB-B2a-cable-AE,Suministro e instalación de cable uso rudo 3x10 marca indiana. (8 metros lineales),  ," $3,022.22 "
3,TRAB-B2a-utermica-AE,Suministro e instalación de unidad térmica 2x20 b ticino. (Por unidad)," $1,160.41 "," $4,641.62 "
3,TRAB-B2a-linea-AE,Suministro e instalación de línea neutra para centro de lavado y parrilla eléctrica abrir hueco en plafón.,  ," $2,223.00 "
3,TRAB-B2b-cable-AE,Suministro e instalación de cable uso rudo 3x10 marca indiana. (8 metros lineales),  ," $3,022.22 "
3,TRAB-B2b-utermica-AE,Suministro e instalación de unidad térmica 2x20 b ticino. (Por unidad)," $1,160.41 "," $4,641.62 "
3,TRAB-B2b-linea-AE,Suministro e instalación de línea neutra para centro de lavado y parrilla eléctrica abrir hueco en plafón.,  ," $2,223.00 "
3,TRAB-B3-cable-AE,Suministro e instalación de cable uso rudo 3x10 marca indiana. (8 metros lineales),  ," $3,022.22 "
3,TRAB-B3-utermica-AE,Suministro e instalación de unidad térmica 2x20 b ticino. (Por unidad)," $1,160.41 "," $4,641.62 "
3,TRAB-B3-linea-AE,Suministro e instalación de línea neutra para centro de lavado y parrilla eléctrica abrir hueco en plafón.,  ," $2,223.00 "
3,TRAB-C-cable-AE,Suministro e instalación de cable uso rudo 3x10 marca indiana. (8 metros lineales),  ," $3,022.22 "
3,TRAB-C-utermica-AE,Suministro e instalación de unidad térmica 2x20 b ticino. (Por unidad)," $1,160.41 "," $4,641.62 "
3,TRAB-C-linea-AE,Suministro e instalación de línea neutra para centro de lavado y parrilla eléctrica abrir hueco en plafón.,  ," $2,223.00 "
3,TRAB-A-contacto-BO,Suministro e instalación de contacto candado 2p-3h 30a  250v marca Bryant- boiler.,  ," $1,483.48 "
3,TRAB-A-clavija-BO,Suministro e instalación de clavija candado 2p-3h 30a  250v marca Bryant -boiler.,  , $904.53 
3,TRAB-B1-contacto-BO,Suministro e instalación de contacto candado 2p-3h 30a  250v marca Bryant- boiler.,  ," $1,483.48 "
3,TRAB-B1-clavija-BO,Suministro e instalación de clavija candado 2p-3h 30a  250v marca Bryant -boiler.,  , $904.53 
3,TRAB-B2a-contacto-BO,Suministro e instalación de contacto candado 2p-3h 30a  250v marca Bryant- boiler.,  ," $1,483.48 "
3,TRAB-B2a-clavija-BO,Suministro e instalación de clavija candado 2p-3h 30a  250v marca Bryant -boiler.,  , $904.53 
3,TRAB-B2b-contacto-BO,Suministro e instalación de contacto candado 2p-3h 30a  250v marca Bryant- boiler.,  ," $1,483.48 "
3,TRAB-B2b-clavija-BO,Suministro e instalación de clavija candado 2p-3h 30a  250v marca Bryant -boiler.,  , $904.53 
3,TRAB-B3-contacto-BO,Suministro e instalación de contacto candado 2p-3h 30a  250v marca Bryant- boiler.,  ," $1,483.48 "
3,TRAB-B3-clavija-BO,Suministro e instalación de clavija candado 2p-3h 30a  250v marca Bryant -boiler.,  , $904.53 
3,TRAB-C-contacto-BO,Suministro e instalación de contacto candado 2p-3h 30a 250v marca Bryant- boiler.,  ," $1,483.48 "
3,TRAB-C-clavija-BO,Suministro e instalación de clavija candado 2p-3h 30a 250v marca Bryant -boiler.,  , $904.53 
3,TRAB-A-contacto-CF,Suministro e instalación de contacto 15 amp polarizado 127v en plafón - campana de filtración,  , $722.00 
3,TRAB-B1-contacto-CF,Suministro e instalación de contacto 15 amp polarizado 127v en plafón - campana de filtración,  , $722.00 
3,TRAB-B2a-contacto-CF,Suministro e instalación de contacto 15 amp polarizado 127v en plafón - campana de filtración,  , $722.00 
3,TRAB-B2b-contacto-CF,Suministro e instalación de contacto 15 amp polarizado 127v en plafón - campana de filtración,  , $722.00 
3,TRAB-B3-contacto-CF,Suministro e instalación de contacto 15 amp polarizado 127v en plafón - campana de filtración,  , $722.00 
3,TRAB-C-contacto-CF,Suministro e instalación de contacto 15 amp polarizado 127v en plafón - campana de filtración,  , $722.00 
3,TRAB-A-contacto-CL,Suministro e instalación de contacto candado 3p-4h 20a  250v marca Bryant- centro de lavado.,  ," $1,557.92 "
3,TRAB-A-clavija-CL,Suministro e instalación de clavija candado 3p-4h 20a  250v marca Bryant - centro de lavado.,  , $949.75 
3,TRAB-B1-contacto-CL,Suministro e instalación de contacto candado 3p-4h 20a  250v marca Bryant- centro de lavado.,  ," $1,557.92 "
3,TRAB-B1-clavija-CL,Suministro e instalación de clavija candado 3p-4h 20a  250v marca Bryant - centro de lavado.,  , $949.75 
3,TRAB-B2a-contacto-CL,Suministro e instalación de contacto candado 3p-4h 20a  250v marca Bryant- centro de lavado.,  ," $1,557.92 "
3,TRAB-B2a-clavija-CL,Suministro e instalación de clavija candado 3p-4h 20a  250v marca Bryant - centro de lavado.,  , $949.75 
3,TRAB-B2b-contacto-CL,Suministro e instalación de contacto candado 3p-4h 20a  250v marca Bryant- centro de lavado.,  ," $1,557.92 "
3,TRAB-B2b-clavija-CL,Suministro e instalación de clavija candado 3p-4h 20a  250v marca Bryant - centro de lavado.,  , $949.75 
3,TRAB-B3-contacto-CL,Suministro e instalación de contacto candado 3p-4h 20a  250v marca Bryant- centro de lavado.,  ," $1,557.92 "
3,TRAB-B3-clavija-CL,Suministro e instalación de clavija candado 3p-4h 20a  250v marca Bryant - centro de lavado.,  , $949.75 
3,TRAB-C-contacto-CL,Suministro e instalación de contacto candado 3p-4h 20a 250v marca Bryant- centro de lavado.,  ," $1,557.92 "
3,TRAB-C-clavija-CL,Suministro e instalación de clavija candado 3p-4h 20a 250v marca Bryant - centro de lavado.,  , $949.75 
3,TRAB-A-contacto-HE,Suministro e instalación de contacto candado 2p-3h 20a  250v marca Bryant- horno.,  ," $1,347.69 "
3,TRAB-A-clavija-HE,Suministro e instalación de clavija candado 2p-3h 20a  250v marca Bryant horno- horno.,  ," $1,238.63 "
3,TRAB-B1-contacto-HE,Suministro e instalación de contacto candado 2p-3h 20a  250v marca Bryant- horno.,  ," $1,347.69 "
3,TRAB-B1-clavija-HE,Suministro e instalación de clavija candado 2p-3h 20a  250v marca Bryant horno- horno.,  ," $1,238.63 "
3,TRAB-B2a-contacto-HE,Suministro e instalación de contacto candado 2p-3h 20a  250v marca Bryant- horno.,  ," $1,347.69 "
3,TRAB-B2a-clavija-HE,Suministro e instalación de clavija candado 2p-3h 20a  250v marca Bryant horno- horno.,  ," $1,238.63 "
3,TRAB-B2b-contacto-HE,Suministro e instalación de contacto candado 2p-3h 20a  250v marca Bryant- horno.,  ," $1,347.69 "
3,TRAB-B2b-clavija-HE,Suministro e instalación de clavija candado 2p-3h 20a  250v marca Bryant horno- horno.,  ," $1,238.63 "
3,TRAB-B3-contacto-HE,Suministro e instalación de contacto candado 2p-3h 20a  250v marca Bryant- horno.,  ," $1,347.69 "
3,TRAB-B3-clavija-HE,Suministro e instalación de clavija candado 2p-3h 20a  250v marca Bryant horno- horno.,  ," $1,238.63 "
3,TRAB-C-contacto-HE,Suministro e instalación de contacto candado 2p-3h 20a 250v marca Bryant- horno.,  ," $1,347.69 "
3,TRAB-C-clavija-HE,Suministro e instalación de clavija candado 2p-3h 20a 250v marca Bryant horno- horno.,  ," $1,238.63 "
3,TRAB-A-minisplit-MS,Preparación eléctrica de minisplit incluye cableado y cable uso rudo p/conexión de equipo. (Por unidad)," $4,317.67 "," $12,953.02 "
